id,landscape,box,band_phenotype,boldness,order.b,fpt,temperature,order.temp
GA1,Garenne,GA,3b,9,1,569,15,1
GA2,Garenne,GA,3b,8,1,608,15,1
GA3,Garenne,GA,3b,15,1,764,15,1
GA4,Garenne,GA,3b,13,1,616,15,1
GA5,Garenne,GA,3b,10,1,592,15,1
GA6,Garenne,GA,5b,9,1,848,15,1
GA7,Garenne,GA,5b,14,1,576,15,1
GA8,Garenne,GA,5b,20,1,616,15,1
GA9,Garenne,GA,5b,9,1,622,15,1
GA10,Garenne,GA,5b,11,1,588,15,1
GA11,Garenne,GA,0b,7,1,505,15,1
GA12,Garenne,GA,0b,8,1,456,15,1
GA13,Garenne,GA,0b,8,1,647,15,1
GA14,Garenne,GA,0b,34,1,429,15,1
GA15,Garenne,GA,0b,12,1,1200,15,1
GB1,Garenne,GB,3b,5,1,725,15,1
GB2,Garenne,GB,3b,10,1,675,15,1
GB3,Garenne,GB,3b,16,1,558,15,1
GB4,Garenne,GB,3b,15,1,681,15,1
GB5,Garenne,GB,3b,8,1,579,15,1
GB6,Garenne,GB,5b,11,1,397,15,1
GB7,Garenne,GB,5b,12,1,619,15,1
GB8,Garenne,GB,5b,35,1,639,15,1
GB9,Garenne,GB,5b,10,1,399,15,1
GB10,Garenne,GB,5b,7,1,700,15,1
GB11,Garenne,GB,0b,6,1,665,15,1
GB12,Garenne,GB,0b,26,1,671,15,1
GB13,Garenne,GB,0b,8,1,533,15,1
GB14,Garenne,GB,0b,12,1,420,15,1
GB15,Garenne,GB,0b,24,1,471,15,1
GC1,Garenne,GC,3b,25,1,1131,15,4
GC2,Garenne,GC,3b,266,1,576,15,4
GC3,Garenne,GC,3b,60,1,1200,15,4
GC4,Garenne,GC,3b,8,1,718,15,4
GC5,Garenne,GC,3b,12,1,838,15,4
GC6,Garenne,GC,5b,21,1,558,15,4
GC7,Garenne,GC,5b,22,1,529,15,4
GC8,Garenne,GC,5b,19,1,1200,15,4
GC9,Garenne,GC,5b,8,1,613,15,1
GC10,Garenne,GC,5b,16,1,664,15,4
GC11,Garenne,GC,0b,33,1,702,15,4
GC12,Garenne,GC,0b,20,1,1028,15,4
GC13,Garenne,GC,0b,18,1,479,15,4
GC14,Garenne,GC,0b,14,1,891,15,4
GC15,Garenne,GC,0b,14,1,1170,15,4
GD1,Garenne,GD,3b,7,1,1200,15,4
GD2,Garenne,GD,3b,34,1,725,15,4
GD3,Garenne,GD,3b,13,1,622,15,4
GD4,Garenne,GD,3b,12,1,1200,15,4
GD5,Garenne,GD,3b,8,1,919,15,1
GD6,Garenne,GD,5b,8,1,764,15,4
GD7,Garenne,GD,5b,11,1,1200,15,4
GD8,Garenne,GD,5b,24,1,961,15,4
GD9,Garenne,GD,5b,8,1,740,15,4
GD10,Garenne,GD,5b,7,1,628,15,4
GD11,Garenne,GD,0b,8,1,675,15,4
GD12,Garenne,GD,0b,13,1,903,15,4
GD13,Garenne,GD,0b,21,1,1009,15,4
GD14,Garenne,GD,0b,13,1,854,15,4
GD15,Garenne,GD,0b,10,1,853,15,4
GE1,Garenne,GE,3b,28,1,1200,15,1
GE2,Garenne,GE,3b,9,1,794,15,1
GE3,Garenne,GE,3b,27,1,1200,15,1
GE4,Garenne,GE,3b,8,1,827,15,1
GE5,Garenne,GE,3b,18,1,1105,15,1
GE6,Garenne,GE,5b,8,1,550,15,1
GE7,Garenne,GE,5b,19,1,954,15,1
GE8,Garenne,GE,5b,29,1,779,15,1
GE9,Garenne,GE,5b,14,1,808,15,1
GE10,Garenne,GE,5b,8,1,690,15,1
GE11,Garenne,GE,0b,30,1,545,15,1
GE12,Garenne,GE,0b,21,1,691,15,1
GE13,Garenne,GE,0b,12,1,965,15,1
GE14,Garenne,GE,0b,52,1,1185,15,1
GE15,Garenne,GE,0b,71,1,648,15,1
GF1,Garenne,GF,3b,25,1,489,15,1
GF2,Garenne,GF,3b,8,1,825,15,1
GF3,Garenne,GF,3b,11,1,630,15,1
GF4,Garenne,GF,3b,15,1,567,15,1
GF5,Garenne,GF,3b,7,1,1200,15,1
GF6,Garenne,GF,5b,26,1,708,15,1
GF7,Garenne,GF,5b,22,1,629,15,1
GF8,Garenne,GF,5b,19,1,902,15,1
GF9,Garenne,GF,5b,6,1,586,15,1
GF10,Garenne,GF,5b,69,1,652,15,1
GF11,Garenne,GF,0b,36,1,715,15,1
GF12,Garenne,GF,0b,20,1,552,15,1
GF13,Garenne,GF,0b,21,1,628,15,1
GF14,Garenne,GF,0b,18,1,867,15,1
GF15,Garenne,GF,0b,16,1,1045,15,1
GG1,Garenne,GG,3b,11,1,933,15,1
GG2,Garenne,GG,3b,16,1,823,15,1
GG3,Garenne,GG,3b,16,1,646,15,1
GG4,Garenne,GG,3b,16,1,414,15,1
GG5,Garenne,GG,3b,9,1,1200,15,1
GG6,Garenne,GG,5b,20,1,954,15,1
GG7,Garenne,GG,5b,6,1,593,15,1
GG8,Garenne,GG,5b,9,1,1200,15,1
GG9,Garenne,GG,5b,15,1,668,15,1
GG10,Garenne,GG,5b,10,1,915,15,1
GG11,Garenne,GG,0b,18,1,1200,15,1
GG12,Garenne,GG,0b,21,1,1200,15,1
GG13,Garenne,GG,0b,12,1,729,15,1
GG14,Garenne,GG,0b,12,1,1200,15,1
GG15,Garenne,GG,0b,10,1,553,15,1
GH1,Garenne,GH,3b,13,1,617,15,1
GH2,Garenne,GH,3b,60,1,1080,15,1
GH3,Garenne,GH,3b,290,1,539,15,1
GH4,Garenne,GH,3b,10,1,915,15,1
GH5,Garenne,GH,3b,23,1,548,15,1
GH6,Garenne,GH,5b,11,1,910,15,1
GH7,Garenne,GH,5b,13,1,1200,15,1
GH8,Garenne,GH,5b,14,1,877,15,1
GH9,Garenne,GH,5b,7,1,1200,15,1
GH10,Garenne,GH,5b,1200,1,1200,15,1
GH11,Garenne,GH,0b,18,1,1102,15,1
GH12,Garenne,GH,0b,17,1,678,15,1
GH13,Garenne,GH,0b,17,1,753,15,1
GH14,Garenne,GH,0b,19,1,975,15,1
GH15,Garenne,GH,0b,26,1,527,15,1
